I (mA),I_B (A),B (KG),Hall Voltage [FB FI] (mV),Hall Voltage [FB RI] (mV),Hall Voltage [RB FI] (mV),Hall Voltage [RB RI] (mV),Mean Hall Voltage (mV)
1,0.5,1.03,2.7,2.9,4.9,5.1,3.9
1,1,1.84,7.2,6.9,9.2,9.5,8.2
1,1.5,2.65,11,10.7,13.1,13.2,12
1,2,3.45,14.8,14.4,16.5,16.7,15.6
1,2.5,4.26,17.9,17.7,19.3,19.5,18.6
1.5,0.5,1.03,4.1,4.1,7.2,7.6,5.8
1.5,1,1.84,10.5,10.4,13.5,13.6,12
1.5,1.5,2.65,16.4,16.1,19.2,19.3,17.8
1.5,2,3.45,21.5,21.6,24.7,24.6,23.1
1.5,2.5,4.26,26.4,26,29.3,29.1,27.7
2,0.5,1.03,6.7,6.6,8.2,8.1,7.4
2,1,1.84,15.5,15.5,17.2,17,16.3
2,1.5,2.65,23.4,23,24.6,24.6,23.9
2,2,3.45,29.8,29.7,32.5,32.4,31.1
2,2.5,4.26,35.9,34.8,38.3,38.3,36.8
2.5,0.5,1.03,6.4,5.8,12.2,12,9.1
2.5,1,1.84,17.4,17.2,23.4,23.2,20.3
2.5,1.5,2.65,26.8,26.8,32.6,32.6,29.7
2.5,2,3.45,35.8,35.9,41,40.9,38.4
2.5,2.5,4.26,43.4,43.2,47.5,47.7,45.5
